행 레이블,개수 : 매칭된기업,개수 : 매칭된키워드,
LG,293,50,17%
삼성,14,6,43%
업비트,162,44,27%
카카오,314,155,49%
토스,408,120,29%
현대,27,27,100%
(비어 있음),,2,
총합계,1218,404,
